Feb 14 06:50:09 voag uv[798833]: 06:50:09 | INFO    | post_call_analysis.runner | Empty conversation for call_log_id=dc7390de-7fa4-41c5-93c5-4f68f8359f11; skipping analysis
Feb 14 06:52:16 voag uv[798833]: INFO:     127.0.0.1:53270 - "POST /batch/entry-completed HTTP/1.1" 200 OK
Feb 14 06:52:16 voag uv[798833]: 06:52:16 | INFO    | api.routes.analysis | Analysis request received for call_log_id=c090b6da-e9d3-487e-8c49-a4a38de8724c
Feb 14 06:52:16 voag uv[798833]: INFO:     127.0.0.1:53274 - "POST /analysis/run-background-analysis HTTP/1.1" 200 OK
Feb 14 06:52:16 voag uv[798833]: 06:52:16 | DEBUG   | vonage.api_security | POST /batch/entry-completed - 200 (0.032s)
Feb 14 06:52:16 voag uv[798833]: 06:52:16 | DEBUG   | api.routes.analysis | Starting background analysis for call_log_id=c090b6da-e9d3-487e-8c49-a4a38de8724c
Feb 14 06:52:16 voag uv[798833]: 06:52:16 | DEBUG   | api.routes.analysis | Running post-call analysis for call_log_id=c090b6da-e9d3-487e-8c49-a4a38de8724c
Feb 14 06:52:16 voag uv[798833]: 06:52:16 | INFO    | post_call_analysis.runner | Empty conversation for call_log_id=c090b6da-e9d3-487e-8c49-a4a38de8724c; skipping analysis
Feb 14 06:52:16 voag uv[798833]: 06:52:16 | WARNING | api.routes.analysis | Post-call analysis returned False for call_log_id=c090b6da-e9d3-487e-8c49-a4a38de8724c
Feb 14 06:52:16 voag uv[798833]: 06:52:16 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 06:52:16 voag uv[798833]: 06:52:16 | DEBUG   | api.routes.analysis | Running lead bookings extraction for call_log_id=c090b6da-e9d3-487e-8c49-a4a38de8724c
Feb 14 06:52:16 voag uv[798833]: 06:52:16 | DEBUG   | vonage.api_security | POST /analysis/run-background-analysis - 200 (0.035s)
Feb 14 06:52:16 voag uv[798833]: 06:52:16 | WARNING | analysis.lead_bookings_extractor | Special handling for failed call (status: failed) in call c090b6da-e9d3-487e-8c49-a4a38de8724c - using auto_followup, grade 12 timeline, and started_at time
Feb 14 06:52:16 voag uv[798833]: 06:52:16 | WARNING | analysis.lead_bookings_extractor | No messages/segments list found in transcriptions. Type: <class 'dict'>
Feb 14 06:52:16 voag uv[798833]: 06:52:16 | WARNING | analysis.lead_bookings_extractor | No timestamp found in transcriptions, using current time as reference_time: 2026-02-14 10:52:16+04:00
Feb 14 06:52:16 voag uv[798833]: 06:52:16 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 06:52:16 voag uv[798833]: 06:52:16 | INFO    | db.storage.leads | Assigned lead 4de2a0fd-b61a-4b2e-b482-c64733717d2c to user c1cfc12e-3185-476b-9e90-930e402dd93a
Feb 14 06:52:16 voag uv[798833]: 06:52:16 | DEBUG   | api.routes.analysis | Lead booking extracted and saved for call_log_id=c090b6da-e9d3-487e-8c49-a4a38de8724c
Feb 14 06:52:16 voag uv[798833]: 06:52:16 | INFO    | api.routes.analysis | Analysis completed and saved to DB for call_log_id=c090b6da-e9d3-487e-8c49-a4a38de8724c
Feb 14 06:52:23 voag uv[798833]: 06:52:23 | INFO    | api.routes.batch | Updated batch entry d06336fd-f107-4219-8fc3-e49dd90c6002 to status=completed
Feb 14 06:52:23 voag uv[798833]: 06:52:23 | DEBUG   | db.storage.batches | Batch 9e689462-5a77-4614-9d54-c711fb367781: status=queued, total=983, completed=871, failed=0, done_entries=871
Feb 14 06:52:23 voag uv[798833]: INFO:     127.0.0.1:40254 - "POST /batch/entry-completed HTTP/1.1" 200 OK
Feb 14 06:52:23 voag uv[798833]: INFO:     127.0.0.1:40260 - "POST /analysis/run-background-analysis HTTP/1.1" 200 OK
Feb 14 06:52:23 voag uv[798833]: 06:52:23 | DEBUG   | vonage.api_security | POST /batch/entry-completed - 200 (0.052s)
Feb 14 06:52:23 voag uv[798833]: 06:52:23 | INFO    | api.routes.analysis | Analysis request received for call_log_id=85c5cccb-e14d-4c04-9fcd-06191c49fd8d
Feb 14 06:52:23 voag uv[798833]: 06:52:23 | DEBUG   | vonage.api_security | POST /analysis/run-background-analysis - 200 (0.053s)
Feb 14 06:52:23 voag uv[798833]: 06:52:23 | DEBUG   | api.routes.analysis | Starting background analysis for call_log_id=85c5cccb-e14d-4c04-9fcd-06191c49fd8d
Feb 14 06:52:23 voag uv[798833]: 06:52:23 | DEBUG   | api.routes.analysis | Running post-call analysis for call_log_id=85c5cccb-e14d-4c04-9fcd-06191c49fd8d
Feb 14 06:52:23 voag uv[798833]: 06:52:23 | INFO    | post_call_analysis.runner | Empty conversation for call_log_id=85c5cccb-e14d-4c04-9fcd-06191c49fd8d; skipping analysis
Feb 14 06:52:23 voag uv[798833]: 06:52:23 | WARNING | api.routes.analysis | Post-call analysis returned False for call_log_id=85c5cccb-e14d-4c04-9fcd-06191c49fd8d
Feb 14 06:52:23 voag uv[798833]: 06:52:23 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 06:52:23 voag uv[798833]: 06:52:23 | DEBUG   | api.routes.analysis | Running lead bookings extraction for call_log_id=85c5cccb-e14d-4c04-9fcd-06191c49fd8d
Feb 14 06:52:23 voag uv[798833]: 06:52:23 | WARNING | analysis.lead_bookings_extractor | Special handling for failed call (status: failed) in call 85c5cccb-e14d-4c04-9fcd-06191c49fd8d - using auto_followup, grade 12 timeline, and started_at time
Feb 14 06:52:23 voag uv[798833]: 06:52:23 | WARNING | analysis.lead_bookings_extractor | No messages/segments list found in transcriptions. Type: <class 'dict'>
Feb 14 06:52:23 voag uv[798833]: 06:52:23 | WARNING | analysis.lead_bookings_extractor | No timestamp found in transcriptions, using current time as reference_time: 2026-02-14 10:52:23+04:00
Feb 14 06:52:23 voag uv[798833]: 06:52:23 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 06:52:23 voag uv[798833]: 06:52:23 | INFO    | db.storage.leads | Assigned lead 5d567258-c57d-4f41-8fa2-d817d385a0d2 to user c1cfc12e-3185-476b-9e90-930e402dd93a
Feb 14 06:52:23 voag uv[798833]: 06:52:23 | DEBUG   | api.routes.analysis | Lead booking extracted and saved for call_log_id=85c5cccb-e14d-4c04-9fcd-06191c49fd8d
Feb 14 06:52:23 voag uv[798833]: 06:52:23 | INFO    | api.routes.analysis | Analysis completed and saved to DB for call_log_id=85c5cccb-e14d-4c04-9fcd-06191c49fd8d
Feb 14 06:52:25 voag uv[798833]: 06:52:25 | INFO    | api.routes.batch | Updated batch entry 229c5668-9786-4db1-8f0b-4ed3166c72f8 to status=completed
Feb 14 06:52:25 voag uv[798833]: 06:52:25 | DEBUG   | db.storage.batches | Batch 9e689462-5a77-4614-9d54-c711fb367781: status=queued, total=983, completed=872, failed=0, done_entries=872
Feb 14 06:52:25 voag uv[798833]: INFO:     127.0.0.1:40264 - "POST /batch/entry-completed HTTP/1.1" 200 OK
Feb 14 06:52:25 voag uv[798833]: 06:52:25 | DEBUG   | vonage.api_security | POST /batch/entry-completed - 200 (0.017s)
Feb 14 06:52:25 voag uv[798833]: INFO:     127.0.0.1:40266 - "POST /analysis/run-background-analysis HTTP/1.1" 200 OK
Feb 14 06:52:25 voag uv[798833]: 06:52:25 | INFO    | api.routes.analysis | Analysis request received for call_log_id=9ce94317-21f4-405c-94ff-c297cdefba65
Feb 14 06:52:25 voag uv[798833]: 06:52:25 | DEBUG   | vonage.api_security | POST /analysis/run-background-analysis - 200 (0.003s)
Feb 14 06:52:25 voag uv[798833]: 06:52:25 | DEBUG   | api.routes.analysis | Starting background analysis for call_log_id=9ce94317-21f4-405c-94ff-c297cdefba65
Feb 14 06:52:25 voag uv[798833]: 06:52:25 | DEBUG   | api.routes.analysis | Running post-call analysis for call_log_id=9ce94317-21f4-405c-94ff-c297cdefba65
Feb 14 06:52:25 voag uv[798833]: 06:52:25 | INFO    | post_call_analysis.runner | Empty conversation for call_log_id=9ce94317-21f4-405c-94ff-c297cdefba65; skipping analysis
Feb 14 06:52:25 voag uv[798833]: 06:52:25 | WARNING | api.routes.analysis | Post-call analysis returned False for call_log_id=9ce94317-21f4-405c-94ff-c297cdefba65
Feb 14 06:52:25 voag uv[798833]: 06:52:25 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 06:52:25 voag uv[798833]: 06:52:25 | DEBUG   | api.routes.analysis | Running lead bookings extraction for call_log_id=9ce94317-21f4-405c-94ff-c297cdefba65
Feb 14 06:52:25 voag uv[798833]: 06:52:25 | WARNING | analysis.lead_bookings_extractor | Special handling for failed call (status: failed) in call 9ce94317-21f4-405c-94ff-c297cdefba65 - using auto_followup, grade 12 timeline, and started_at time
Feb 14 06:52:25 voag uv[798833]: 06:52:25 | WARNING | analysis.lead_bookings_extractor | No messages/segments list found in transcriptions. Type: <class 'dict'>
Feb 14 06:52:25 voag uv[798833]: 06:52:25 | WARNING | analysis.lead_bookings_extractor | No timestamp found in transcriptions, using current time as reference_time: 2026-02-14 10:52:25+04:00
Feb 14 06:52:25 voag uv[798833]: 06:52:25 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 06:52:25 voag uv[798833]: 06:52:25 | INFO    | db.storage.leads | Assigned lead dcd91d2a-1df7-41b7-958d-f3b62d7dd53d to user c1cfc12e-3185-476b-9e90-930e402dd93a
Feb 14 06:52:25 voag uv[798833]: 06:52:25 | DEBUG   | api.routes.analysis | Lead booking extracted and saved for call_log_id=9ce94317-21f4-405c-94ff-c297cdefba65
Feb 14 06:52:25 voag uv[798833]: 06:52:25 | INFO    | api.routes.analysis | Analysis completed and saved to DB for call_log_id=9ce94317-21f4-405c-94ff-c297cdefba65
Feb 14 06:52:28 voag uv[798833]: 06:52:28 | INFO    | api.routes.batch | Batch batch-55e24eb1e1ab4ae2ba1d560d62ff8c62 wave 60: Waiting for 6 entries (150s elapsed)
Feb 14 06:52:35 voag uv[798833]: 06:52:35 | INFO    | api.routes.batch | Updated batch entry 1690ab2e-cc14-4066-9966-f0f6a634479e to status=completed
Feb 14 06:52:35 voag uv[798833]: 06:52:35 | DEBUG   | db.storage.batches | Batch 9e689462-5a77-4614-9d54-c711fb367781: status=queued, total=983, completed=873, failed=0, done_entries=873
Feb 14 06:52:35 voag uv[798833]: INFO:     127.0.0.1:43066 - "POST /batch/entry-completed HTTP/1.1" 200 OK
Feb 14 06:52:35 voag uv[798833]: INFO:     127.0.0.1:43078 - "POST /analysis/run-background-analysis HTTP/1.1" 200 OK
Feb 14 06:52:35 voag uv[798833]: 06:52:35 | INFO    | api.routes.analysis | Analysis request received for call_log_id=e3c41295-ce55-4794-8e55-926b426a7d10
Feb 14 06:52:35 voag uv[798833]: 06:52:35 | DEBUG   | vonage.api_security | POST /batch/entry-completed - 200 (0.018s)
Feb 14 06:52:35 voag uv[798833]: 06:52:35 | DEBUG   | vonage.api_security | POST /analysis/run-background-analysis - 200 (0.017s)
Feb 14 06:52:35 voag uv[798833]: 06:52:35 | DEBUG   | api.routes.analysis | Starting background analysis for call_log_id=e3c41295-ce55-4794-8e55-926b426a7d10
Feb 14 06:52:35 voag uv[798833]: 06:52:35 | DEBUG   | api.routes.analysis | Running post-call analysis for call_log_id=e3c41295-ce55-4794-8e55-926b426a7d10
Feb 14 06:52:35 voag uv[798833]: 06:52:35 | INFO    | post_call_analysis.runner | Empty conversation for call_log_id=e3c41295-ce55-4794-8e55-926b426a7d10; skipping analysis
Feb 14 06:52:35 voag uv[798833]: 06:52:35 | WARNING | api.routes.analysis | Post-call analysis returned False for call_log_id=e3c41295-ce55-4794-8e55-926b426a7d10
Feb 14 06:52:35 voag uv[798833]: 06:52:35 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 06:52:35 voag uv[798833]: 06:52:35 | DEBUG   | api.routes.analysis | Running lead bookings extraction for call_log_id=e3c41295-ce55-4794-8e55-926b426a7d10
Feb 14 06:52:35 voag uv[798833]: 06:52:35 | WARNING | analysis.lead_bookings_extractor | Special handling for failed call (status: failed) in call e3c41295-ce55-4794-8e55-926b426a7d10 - using auto_followup, grade 12 timeline, and started_at time
Feb 14 06:52:35 voag uv[798833]: 06:52:35 | WARNING | analysis.lead_bookings_extractor | No messages/segments list found in transcriptions. Type: <class 'dict'>
Feb 14 06:52:35 voag uv[798833]: 06:52:35 | WARNING | analysis.lead_bookings_extractor | No timestamp found in transcriptions, using current time as reference_time: 2026-02-14 10:52:35+04:00
Feb 14 06:52:35 voag uv[798833]: 06:52:35 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 06:52:35 voag uv[798833]: 06:52:35 | INFO    | db.storage.leads | Assigned lead 0704476a-f840-40a4-b9e5-8a6d92bde879 to user c1cfc12e-3185-476b-9e90-930e402dd93a
Feb 14 06:52:35 voag uv[798833]: 06:52:35 | DEBUG   | api.routes.analysis | Lead booking extracted and saved for call_log_id=e3c41295-ce55-4794-8e55-926b426a7d10
Feb 14 06:52:35 voag uv[798833]: 06:52:35 | INFO    | api.routes.analysis | Analysis completed and saved to DB for call_log_id=e3c41295-ce55-4794-8e55-926b426a7d10
Feb 14 06:52:55 voag uv[798833]: 06:52:55 | INFO    | api.routes.batch | Updated batch entry bc3fc582-6646-4f2e-92fc-9a2fd8f8a89c to status=completed
Feb 14 06:52:55 voag uv[798833]: 06:52:55 | DEBUG   | db.storage.batches | Batch 9e689462-5a77-4614-9d54-c711fb367781: status=queued, total=983, completed=874, failed=0, done_entries=874
Feb 14 06:52:55 voag uv[798833]: INFO:     127.0.0.1:46404 - "POST /batch/entry-completed HTTP/1.1" 200 OK
Feb 14 06:52:55 voag uv[798833]: INFO:     127.0.0.1:46408 - "POST /analysis/run-background-analysis HTTP/1.1" 200 OK
Feb 14 06:52:55 voag uv[798833]: 06:52:55 | DEBUG   | vonage.api_security | POST /batch/entry-completed - 200 (0.022s)
Feb 14 06:52:55 voag uv[798833]: 06:52:55 | INFO    | api.routes.analysis | Analysis request received for call_log_id=4b49e9a2-27eb-435b-9db9-97e085d2a339
Feb 14 06:52:55 voag uv[798833]: 06:52:55 | DEBUG   | vonage.api_security | POST /analysis/run-background-analysis - 200 (0.004s)
Feb 14 06:52:55 voag uv[798833]: 06:52:55 | DEBUG   | api.routes.analysis | Starting background analysis for call_log_id=4b49e9a2-27eb-435b-9db9-97e085d2a339
Feb 14 06:52:55 voag uv[798833]: 06:52:55 | DEBUG   | api.routes.analysis | Running post-call analysis for call_log_id=4b49e9a2-27eb-435b-9db9-97e085d2a339
Feb 14 06:52:55 voag uv[798833]: 06:52:55 | INFO    | post_call_analysis.runner | Empty conversation for call_log_id=4b49e9a2-27eb-435b-9db9-97e085d2a339; skipping analysis
Feb 14 06:52:55 voag uv[798833]: 06:52:55 | WARNING | api.routes.analysis | Post-call analysis returned False for call_log_id=4b49e9a2-27eb-435b-9db9-97e085d2a339
Feb 14 06:52:55 voag uv[798833]: 06:52:55 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 06:52:55 voag uv[798833]: 06:52:55 | DEBUG   | api.routes.analysis | Running lead bookings extraction for call_log_id=4b49e9a2-27eb-435b-9db9-97e085d2a339
Feb 14 06:52:55 voag uv[798833]: 06:52:55 | WARNING | analysis.lead_bookings_extractor | Special handling for failed call (status: failed) in call 4b49e9a2-27eb-435b-9db9-97e085d2a339 - using auto_followup, grade 12 timeline, and started_at time
Feb 14 06:52:55 voag uv[798833]: 06:52:55 | WARNING | analysis.lead_bookings_extractor | No messages/segments list found in transcriptions. Type: <class 'dict'>
Feb 14 06:52:55 voag uv[798833]: 06:52:55 | WARNING | analysis.lead_bookings_extractor | No timestamp found in transcriptions, using current time as reference_time: 2026-02-14 10:52:55+04:00
Feb 14 06:52:55 voag uv[798833]: 06:52:55 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 06:52:55 voag uv[798833]: 06:52:55 | INFO    | db.storage.leads | Assigned lead 45590b42-dee7-4edf-b3b3-98a95682a90a to user c1cfc12e-3185-476b-9e90-930e402dd93a
Feb 14 06:52:55 voag uv[798833]: 06:52:55 | DEBUG   | api.routes.analysis | Lead booking extracted and saved for call_log_id=4b49e9a2-27eb-435b-9db9-97e085d2a339
Feb 14 06:52:55 voag uv[798833]: 06:52:55 | INFO    | api.routes.analysis | Analysis completed and saved to DB for call_log_id=4b49e9a2-27eb-435b-9db9-97e085d2a339
Feb 14 06:52:56 voag uv[798833]: 06:52:56 | INFO    | api.routes.batch | Updated batch entry 754abe20-171d-45f7-8c0b-f2339ece83b4 to status=completed
Feb 14 06:52:56 voag uv[798833]: 06:52:56 | DEBUG   | db.storage.batches | Batch 9e689462-5a77-4614-9d54-c711fb367781: status=queued, total=983, completed=875, failed=0, done_entries=875
Feb 14 06:52:56 voag uv[798833]: INFO:     127.0.0.1:46416 - "POST /batch/entry-completed HTTP/1.1" 200 OK
Feb 14 06:52:56 voag uv[798833]: 06:52:56 | INFO    | api.routes.analysis | Analysis request received for call_log_id=cf046c4f-843b-4319-a4b3-edac4535fb25
Feb 14 06:52:56 voag uv[798833]: INFO:     127.0.0.1:46420 - "POST /analysis/run-background-analysis HTTP/1.1" 200 OK
Feb 14 06:52:56 voag uv[798833]: 06:52:56 | DEBUG   | vonage.api_security | POST /batch/entry-completed - 200 (0.032s)
Feb 14 06:52:56 voag uv[798833]: 06:52:56 | DEBUG   | vonage.api_security | POST /analysis/run-background-analysis - 200 (0.032s)
Feb 14 06:52:56 voag uv[798833]: 06:52:56 | DEBUG   | api.routes.analysis | Starting background analysis for call_log_id=cf046c4f-843b-4319-a4b3-edac4535fb25
Feb 14 06:52:56 voag uv[798833]: 06:52:56 | DEBUG   | api.routes.analysis | Running post-call analysis for call_log_id=cf046c4f-843b-4319-a4b3-edac4535fb25
Feb 14 06:52:56 voag uv[798833]: 06:52:56 | INFO    | post_call_analysis.runner | Empty conversation for call_log_id=cf046c4f-843b-4319-a4b3-edac4535fb25; skipping analysis
Feb 14 06:52:56 voag uv[798833]: 06:52:56 | WARNING | api.routes.analysis | Post-call analysis returned False for call_log_id=cf046c4f-843b-4319-a4b3-edac4535fb25
Feb 14 06:52:56 voag uv[798833]: 06:52:56 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 06:52:56 voag uv[798833]: 06:52:56 | DEBUG   | api.routes.analysis | Running lead bookings extraction for call_log_id=cf046c4f-843b-4319-a4b3-edac4535fb25
Feb 14 06:52:56 voag uv[798833]: 06:52:56 | WARNING | analysis.lead_bookings_extractor | Special handling for failed call (status: failed) in call cf046c4f-843b-4319-a4b3-edac4535fb25 - using auto_followup, grade 12 timeline, and started_at time
Feb 14 06:52:56 voag uv[798833]: 06:52:56 | WARNING | analysis.lead_bookings_extractor | No messages/segments list found in transcriptions. Type: <class 'dict'>
Feb 14 06:52:56 voag uv[798833]: 06:52:56 | WARNING | analysis.lead_bookings_extractor | No timestamp found in transcriptions, using current time as reference_time: 2026-02-14 10:52:56+04:00
Feb 14 06:52:56 voag uv[798833]: 06:52:56 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 06:52:56 voag uv[798833]: 06:52:56 | INFO    | db.storage.leads | Assigned lead 260c5518-c2a8-47a7-9bcd-f486b63cf32a to user c1cfc12e-3185-476b-9e90-930e402dd93a
Feb 14 06:52:56 voag uv[798833]: 06:52:56 | DEBUG   | api.routes.analysis | Lead booking extracted and saved for call_log_id=cf046c4f-843b-4319-a4b3-edac4535fb25
Feb 14 06:52:56 voag uv[798833]: 06:52:56 | INFO    | api.routes.analysis | Analysis completed and saved to DB for call_log_id=cf046c4f-843b-4319-a4b3-edac4535fb25
Feb 14 06:52:58 voag uv[798833]: 06:52:58 | INFO    | api.routes.batch | Batch batch-55e24eb1e1ab4ae2ba1d560d62ff8c62 wave 60: Waiting for 3 entries (180s elapsed): ? (call:830741e7, status:dispatched), ? (call:a6aab95a, status:dispatched), ? (call:77b35734, status:dispatched)
Feb 14 06:53:13 voag uv[798833]: 06:53:13 | INFO    | api.routes.batch | Updated batch entry fbed0984-9bf5-411f-b74c-e25776c0288d to status=completed
Feb 14 06:53:13 voag uv[798833]: 06:53:13 | DEBUG   | db.storage.batches | Batch 9e689462-5a77-4614-9d54-c711fb367781: status=queued, total=983, completed=876, failed=0, done_entries=876
Feb 14 06:53:13 voag uv[798833]: INFO:     127.0.0.1:56852 - "POST /batch/entry-completed HTTP/1.1" 200 OK
Feb 14 06:53:13 voag uv[798833]: INFO:     127.0.0.1:56864 - "POST /analysis/run-background-analysis HTTP/1.1" 200 OK
Feb 14 06:53:13 voag uv[798833]: 06:53:13 | INFO    | api.routes.analysis | Analysis request received for call_log_id=77b35734-ff52-43b5-847b-37d63a8f54d2
Feb 14 06:53:13 voag uv[798833]: 06:53:13 | DEBUG   | vonage.api_security | POST /batch/entry-completed - 200 (0.017s)
Feb 14 06:53:13 voag uv[798833]: 06:53:13 | DEBUG   | vonage.api_security | POST /analysis/run-background-analysis - 200 (0.017s)
Feb 14 06:53:13 voag uv[798833]: 06:53:13 | DEBUG   | api.routes.analysis | Starting background analysis for call_log_id=77b35734-ff52-43b5-847b-37d63a8f54d2
Feb 14 06:53:13 voag uv[798833]: 06:53:13 | DEBUG   | api.routes.analysis | Running post-call analysis for call_log_id=77b35734-ff52-43b5-847b-37d63a8f54d2
Feb 14 06:53:28 voag uv[798833]: 06:53:28 | INFO    | api.routes.batch | Batch batch-55e24eb1e1ab4ae2ba1d560d62ff8c62 wave 60: Waiting for 2 entries (210s elapsed): ? (call:830741e7, status:dispatched), ? (call:a6aab95a, status:dispatched)
Feb 14 06:53:37 voag uv[798833]: 06:53:37 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 06:53:37 voag uv[798833]: 06:53:37 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 06:53:37 voag uv[798833]: 06:53:37 | INFO    | utils.vertical_routing | Vertical routing: tenant_id=734cd516-e252-4728-9c52-4663ee552653, vertical=realestate
Feb 14 06:53:37 voag uv[798833]: 06:53:37 | INFO    | utils.vertical_routing | Realestate vertical detected but not yet implemented
Feb 14 06:53:37 voag uv[798833]: 06:53:37 | DEBUG   | post_call_analysis.runner | Vertical routing: call_log_id=77b35734-ff52-43b5-847b-37d63a8f54d2 not routed (vertical=realestate, reason=Realestate vertical not yet implemented)
Feb 14 06:53:37 voag uv[798833]: 06:53:37 | DEBUG   | api.routes.analysis | Post-call analysis completed successfully for call_log_id=77b35734-ff52-43b5-847b-37d63a8f54d2
Feb 14 06:53:37 voag uv[798833]: 06:53:37 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 06:53:37 voag uv[798833]: 06:53:37 | DEBUG   | api.routes.analysis | Running lead bookings extraction for call_log_id=77b35734-ff52-43b5-847b-37d63a8f54d2
Feb 14 06:53:39 voag uv[798833]: 06:53:39 | WARNING | analysis.lead_bookings_extractor | No explicit confirmed time found after all extraction attempts for call 77b35734-ff52-43b5-847b-37d63a8f54d2
Feb 14 06:53:39 voag uv[798833]: 06:53:39 | WARNING | analysis.schedule_calculator | Callback requested but no callback_time provided - will use Stage 2 grade-based schedule
Feb 14 06:53:39 voag uv[798833]: 06:53:39 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 06:53:39 voag uv[798833]: 06:53:39 | INFO    | db.storage.leads | Assigned lead 8718ae8e-a72a-4276-842a-4caa50fea6fd to user c1cfc12e-3185-476b-9e90-930e402dd93a
Feb 14 06:53:39 voag uv[798833]: 06:53:39 | DEBUG   | api.routes.analysis | Lead booking extracted and saved for call_log_id=77b35734-ff52-43b5-847b-37d63a8f54d2
Feb 14 06:53:39 voag uv[798833]: 06:53:39 | INFO    | api.routes.analysis | Analysis completed and saved to DB for call_log_id=77b35734-ff52-43b5-847b-37d63a8f54d2
Feb 14 06:53:58 voag uv[798833]: 06:53:58 | INFO    | api.routes.batch | Batch batch-55e24eb1e1ab4ae2ba1d560d62ff8c62 wave 60: Waiting for 2 entries (240s elapsed): ? (call:830741e7, status:dispatched), ? (call:a6aab95a, status:dispatched)
Feb 14 06:54:28 voag uv[798833]: 06:54:28 | INFO    | api.routes.batch | Batch batch-55e24eb1e1ab4ae2ba1d560d62ff8c62 wave 60: Waiting for 2 entries (270s elapsed): ? (call:830741e7, status:dispatched), ? (call:a6aab95a, status:dispatched)
Feb 14 06:54:58 voag uv[798833]: 06:54:58 | INFO    | api.routes.batch | Batch batch-55e24eb1e1ab4ae2ba1d560d62ff8c62 wave 60: Waiting for 2 entries (300s elapsed): ? (call:830741e7, status:dispatched), ? (call:a6aab95a, status:dispatched)
Feb 14 06:55:28 voag uv[798833]: 06:55:28 | INFO    | api.routes.batch | Batch batch-55e24eb1e1ab4ae2ba1d560d62ff8c62 wave 60: Waiting for 2 entries (330s elapsed): ? (call:830741e7, status:dispatched), ? (call:a6aab95a, status:dispatched)
Feb 14 06:55:58 voag uv[798833]: 06:55:58 | INFO    | api.routes.batch | Batch batch-55e24eb1e1ab4ae2ba1d560d62ff8c62 wave 60: Waiting for 2 entries (360s elapsed): ? (call:830741e7, status:dispatched), ? (call:a6aab95a, status:dispatched)
Feb 14 06:56:28 voag uv[798833]: 06:56:28 | INFO    | api.routes.batch | Batch batch-55e24eb1e1ab4ae2ba1d560d62ff8c62 wave 60: Waiting for 2 entries (390s elapsed): ? (call:830741e7, status:dispatched), ? (call:a6aab95a, status:dispatched)
Feb 14 06:56:58 voag uv[798833]: 06:56:58 | INFO    | api.routes.batch | Batch batch-55e24eb1e1ab4ae2ba1d560d62ff8c62 wave 60: Waiting for 2 entries (420s elapsed): ? (call:830741e7, status:dispatched), ? (call:a6aab95a, status:dispatched)
Feb 14 06:57:28 voag uv[798833]: 06:57:28 | INFO    | api.routes.batch | Batch batch-55e24eb1e1ab4ae2ba1d560d62ff8c62 wave 60: Waiting for 2 entries (450s elapsed): ? (call:830741e7, status:dispatched), ? (call:a6aab95a, status:dispatched)
Feb 14 06:57:58 voag uv[798833]: 06:57:58 | INFO    | api.routes.batch | Batch batch-55e24eb1e1ab4ae2ba1d560d62ff8c62 wave 60: Waiting for 2 entries (480s elapsed): ? (call:830741e7, status:dispatched), ? (call:a6aab95a, status:dispatched)
Feb 14 06:58:28 voag uv[798833]: 06:58:28 | INFO    | api.routes.batch | Batch batch-55e24eb1e1ab4ae2ba1d560d62ff8c62 wave 60: Waiting for 2 entries (510s elapsed): ? (call:830741e7, status:dispatched), ? (call:a6aab95a, status:dispatched)
Feb 14 06:58:58 voag uv[798833]: 06:58:58 | INFO    | api.routes.batch | Batch batch-55e24eb1e1ab4ae2ba1d560d62ff8c62 wave 60: Waiting for 2 entries (540s elapsed): ? (call:830741e7, status:dispatched), ? (call:a6aab95a, status:dispatched)
Feb 14 06:59:28 voag uv[798833]: 06:59:28 | INFO    | api.routes.batch | Batch batch-55e24eb1e1ab4ae2ba1d560d62ff8c62 wave 60: Waiting for 2 entries (571s elapsed): ? (call:830741e7, status:dispatched), ? (call:a6aab95a, status:dispatched)
